Title,Season,Track,Episode
"She Professed Herself Pupil of the Wise Man [ฉันเป็นศิษย์จอมปราชญ์จริงๆ นะ]","Season 1","พากย์ไทย","12 Ep"
"So I'm a Spider, So What? [แมงมุมแล้วไงข้องใจเหรอคะ]","Season 1","พากย์ไทย","24 Ep"
"Sword Art Online [ซอร์ด อาร์ต ออนไลน์]","Season 1","พากย์ไทย","25 Ep"
"Sword Art Online [ซอร์ด อาร์ต ออนไลน์]","Season 2","พากย์ไทย","25 Ep"
"Sword Art Online [ซอร์ด อาร์ต ออนไลน์]","Season 3","พากย์ไทย","25 Ep"
"The Apothecary Diaries [สืบคดีปริศนา หมอยาตำรับโคมแดง]","Season 1","พากย์ไทย","48 Ep"
"The Daily Life of a Middle-Aged Online Shopper in Another World [ทะลุมิติไปเป็นยอดนักขายออนไลน์ในต่างโลกของชายวัยสี่สิบ]","Season 1","พากย์ไทย","13 Ep"
"The Demon Sword Master of Excalibur Academy [จอมมารเกิดใหม่ วิทยาลัยผู้พิทักษ์]","Season 1","พากย์ไทย","12 Ep"
"The Devil Is a Part-Timer! [ผู้กล้าซึนซ่าส์กับจอมมารสู้ชีวิต]","Season 1","พากย์ไทย","13 Ep"
"The Fragrant Flower Blooms with Dignity [ดอกรักผลิบานที่กลางใจ]","Season 1","พากย์ไทย","13 Ep"
"The Irregular at Magic High School [พี่น้องปริศนาโรงเรียนมหาเวท]","Season 1","พากย์ไทย","26 Ep"
"THE NEW GATE [เดอะนิวเกท]","Season 1","พากย์ไทย","12 Ep"
"The Strongest Magician in the Demon Lord's Army Was a Human [จอมเวทมนุษย์ในกองทัพจอมมาร]","Season 1","พากย์ไทย","12 Ep"
"The Weakest Tamer Began a Journey to Pick Up Trash [การผจญภัยของเทมเมอร์มือใหม่กับสไลม์สุดด๋อย]","Season 1","พากย์ไทย","12 Ep"
"Unbreakable Machine-Doll [สงครามจักรกล มนตราราตรี]","Season 1","พากย์ไทย","12 Ep"
"Unnamed Memory [อันเนมด์ เมโมรี]","Season 1","พากย์ไทย","24 Ep"
"Wistoria: Wand and Sword [ตำนานดาบและคทาแห่งวิสตอเรีย]","Season 1","ซับไทย, พากย์ไทย","12 Ep"
