??????????,season,track,episode
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 15 - กองเรือราชินี"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 16 - โรซาลีโอแห่งการนัดหมาย"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 17 - เกมลงทัณฑ์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 18 - ซีเรียลนัมเบอร์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 19 - นักวิจัย"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 20 - หน่วยฮาวน์ด็อก"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 21 - อุปกรณ์ติดตั้งการเรียนรู้ เทสตาเม้นท์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 22 - อาคมทัณฑ์สวรรค์"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 23 - ก่อนเปิดศึก"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 2","พากย์ไทย","ตอน 24 - กลุ่มติดอาวุธ (สกิลเอาท์)"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 1 - Unrest"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 2 - The Right Seat of God"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 3 - The Document of C."
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 4 - The Dark Side of Academy City"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 5 - Dark Matter"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 6 - Super-espers"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 7 - The Third Level"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 8 - Saint Breakout"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 9 - Holy Mother Veneration"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 10 - Sky Bus 365"
"A Certain Magical Index [อินเด็กซ์ คัมภีร์คาถาต้องห้าม]","Season 3","ซับไทย","Ep. 11 - British Labyrinth"
